epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2338,0.82277,1.84069,1.26489,0.49099,0.64305,0.56932,0.38206,1.08353,2.09661,1.70701,0.000361301,0.000361301,0.000361301
2,47.6702,0.87694,1.29298,1.26522,0.37974,0.56627,0.43362,0.27945,1.06698,4.02429,1.69586,0.000724391,0.000724391,0.000724391
3,65.9172,0.92733,1.40388,1.30185,0.30711,0.51264,0.40862,0.25277,1.55147,9.68199,2.33152,0.00108015,0.00108015,0.00108015
4,84.4999,0.99273,1.34439,1.33863,0.25456,0.38121,0.23455,0.1539,1.68273,4.75075,2.56601,0.001078,0.001078,0.001078
5,103.11,0.94892,1.19943,1.31619,0.34566,0.49246,0.37311,0.2433,1.53115,5.78681,2.1655,0.001067,0.001067,0.001067
6,121.438,0.90594,1.10743,1.29486,0.59482,0.44287,0.49058,0.32056,1.29399,2.85642,1.71392,0.00105601,0.00105601,0.00105601
7,140.238,0.87157,1.04227,1.25307,0.57683,0.52739,0.58008,0.38519,1.23975,3.15551,1.66377,0.00104501,0.00104501,0.00104501
8,160.643,0.82348,0.93553,1.22254,0.61809,0.63089,0.70819,0.5021,0.91917,2.06891,1.40705,0.00103401,0.00103401,0.00103401
9,180.044,0.82974,0.9432,1.24581,0.65982,0.77516,0.82705,0.61329,0.84526,1.9508,1.37762,0.00102301,0.00102301,0.00102301
10,204.417,0.78702,0.90129,1.21136,0.85494,0.73749,0.85928,0.70085,0.68728,1.20007,1.18769,0.00101201,0.00101201,0.00101201
11,223.851,0.79034,0.87173,1.2017,0.83757,0.738,0.87015,0.67869,0.87144,1.08347,1.35992,0.00100101,0.00100101,0.00100101
12,242.087,0.75411,0.80964,1.1697,0.8296,0.82579,0.8993,0.71506,0.80558,1.01801,1.31117,0.000990012,0.000990012,0.000990012
13,261.695,0.71848,0.74596,1.17454,0.8405,0.85768,0.94746,0.7809,0.68795,1.12124,1.16411,0.000979013,0.000979013,0.000979013
14,281.679,0.70536,0.74348,1.14094,0.80687,0.81708,0.90083,0.73057,0.79436,1.09075,1.29143,0.000968014,0.000968014,0.000968014
15,300.245,0.6962,0.71617,1.15017,0.95217,0.87537,0.96096,0.81564,0.61858,0.62929,1.12739,0.000957015,0.000957015,0.000957015
16,320.312,0.68225,0.6985,1.13725,0.93757,0.89949,0.96571,0.82012,0.64374,0.61838,1.16601,0.000946016,0.000946016,0.000946016
17,340.288,0.672,0.6857,1.13017,0.85632,0.92091,0.95555,0.82215,0.57998,0.63397,1.09586,0.000935018,0.000935018,0.000935018
18,359.956,0.69656,0.67597,1.16838,0.92002,0.93556,0.96183,0.82125,0.5802,0.57702,1.09038,0.000924019,0.000924019,0.000924019
19,378.929,0.66964,0.64723,1.15322,0.95976,0.94218,0.98144,0.83468,0.62907,0.49193,1.13154,0.00091302,0.00091302,0.00091302
20,399.488,0.6362,0.61343,1.10089,0.9379,0.92014,0.96352,0.83701,0.57414,0.52962,1.08618,0.000902021,0.000902021,0.000902021
21,420.228,0.64921,0.67662,1.11946,0.76026,0.91084,0.89291,0.75818,0.61488,0.77293,1.1491,0.000891022,0.000891022,0.000891022
22,439.032,0.60721,0.61835,1.07792,0.94477,0.9252,0.96701,0.82102,0.6203,0.55036,1.13454,0.000880023,0.000880023,0.000880023
23,457.822,0.63796,0.65148,1.12073,0.94669,0.97614,0.98589,0.84684,0.56098,0.46669,1.06422,0.000869024,0.000869024,0.000869024
24,482.761,0.58343,0.55285,1.05992,0.94676,0.90407,0.96306,0.85962,0.51406,0.55347,1.03133,0.000858025,0.000858025,0.000858025
25,503.679,0.57709,0.53579,1.0603,0.94072,0.95924,0.98957,0.89046,0.4882,0.44642,1.00274,0.000847026,0.000847026,0.000847026
26,524.346,0.58135,0.52727,1.06883,0.95046,0.96103,0.98621,0.88838,0.49812,0.42674,1.01659,0.000836027,0.000836027,0.000836027
27,543.489,0.57168,0.55728,1.07381,0.96623,0.97404,0.98737,0.88689,0.48113,0.40402,1.00136,0.000825029,0.000825029,0.000825029
28,562.3,0.57565,0.52992,1.08733,0.99262,0.97879,0.99263,0.90998,0.42906,0.35008,0.96393,0.00081403,0.00081403,0.00081403
29,582.024,0.55116,0.49825,1.04929,0.98103,0.94629,0.98522,0.88767,0.49188,0.39122,1.04979,0.000803031,0.000803031,0.000803031
30,601.252,0.54553,0.51529,1.05077,0.97544,0.97202,0.98729,0.89284,0.47934,0.3662,0.99099,0.000792032,0.000792032,0.000792032
31,620.052,0.60631,0.55749,1.10268,0.95932,0.96818,0.9876,0.89416,0.47139,0.38373,0.97013,0.000781033,0.000781033,0.000781033
32,639.2,0.56724,0.5175,1.06122,0.97739,0.98382,0.99164,0.89176,0.48436,0.36296,1.00251,0.000770034,0.000770034,0.000770034
33,658.919,0.54611,0.5017,1.05776,0.97199,0.95904,0.98626,0.9007,0.44095,0.36738,0.96918,0.000759035,0.000759035,0.000759035
34,678.639,0.54746,0.49926,1.05208,0.98176,0.97222,0.98893,0.8974,0.46461,0.37692,0.96999,0.000748036,0.000748036,0.000748036
35,697.209,0.53056,0.47922,1.0399,0.98045,0.95935,0.99022,0.89861,0.44784,0.36263,0.98358,0.000737037,0.000737037,0.000737037
36,715.753,0.52032,0.46295,1.02675,0.98003,0.98939,0.99141,0.9141,0.44032,0.32778,0.97007,0.000726038,0.000726038,0.000726038
37,736.491,0.51675,0.46338,1.02299,0.98254,0.97194,0.98717,0.89583,0.45839,0.3685,0.98175,0.00071504,0.00071504,0.00071504
38,759.12,0.5244,0.46377,1.04044,0.99503,0.97424,0.98943,0.91096,0.42735,0.33155,0.9731,0.000704041,0.000704041,0.000704041
39,777.975,0.49943,0.42853,1.02865,0.98226,0.98346,0.99205,0.92237,0.38986,0.29518,0.92962,0.000693042,0.000693042,0.000693042
40,798.377,0.47897,0.4365,1.0117,0.99213,0.9797,0.99418,0.93439,0.39372,0.2966,0.93035,0.000682043,0.000682043,0.000682043
41,818.843,0.47988,0.43516,1.02671,0.98777,0.9914,0.99294,0.92635,0.38982,0.29116,0.93205,0.000671044,0.000671044,0.000671044
42,837.654,0.49861,0.4298,1.0345,0.98989,0.98116,0.99115,0.92352,0.4093,0.29013,0.94592,0.000660045,0.000660045,0.000660045
43,856.484,0.49553,0.43316,1.01642,0.99327,0.99798,0.99445,0.93219,0.37082,0.27309,0.91058,0.000649046,0.000649046,0.000649046
44,875.475,0.43362,0.37389,0.97382,0.99694,0.99769,0.99405,0.92975,0.36837,0.26875,0.90131,0.000638047,0.000638047,0.000638047
45,894.73,0.47543,0.4027,1.01276,0.97993,0.98835,0.99328,0.93174,0.36278,0.27287,0.91187,0.000627048,0.000627048,0.000627048
46,913.909,0.45064,0.39442,0.99198,0.98422,0.99335,0.99387,0.93133,0.34955,0.27437,0.89541,0.000616049,0.000616049,0.000616049
47,933.881,0.4623,0.39607,1.01083,0.99642,0.99624,0.9932,0.93521,0.35257,0.26714,0.9056,0.000605051,0.000605051,0.000605051
