Age,Travel Style,Monthly Income (USD),Preferred Activities 1,Preferred Activities 2,Preferred Activities 3,Preferred Travel Season,Preferred Mode of Transportation,Tech Savvy,Accommodation Type,Category
25.0,group,1962.0,Water Sports,Camping,Hiking and Trekking,Fall,Public-Bus,Medium,Camping,Adventure & Active
22.0,group,1953.0,Water Sports,Camping,Whale and Dolphin Watching,Fall,Train,Medium,Camping,Adventure & Active
20.0,solo,1604.0,Whale and Dolphin Watching,Wildlife Safaris,Camping,Summer,Train,Medium,Hostel,Adventure & Active
26.0,solo,2176.0,Hiking and Trekking,Camping,Whale and Dolphin Watching,Fall,Car,Medium,Guesthouse,Adventure & Active
29.0,group,1824.0,Camping,Whale and Dolphin Watching,Water Sports,Fall,Public-Bus,Medium,Hostel,Adventure & Active
19.0,group,2167.0,Whale and Dolphin Watching,Water Sports,Camping,Summer,Car,Medium,Hostel,Adventure & Active
22.0,group,2087.0,Whale and Dolphin Watching,Hiking and Trekking,Water Sports,Summer,Van,Medium,Hostel,Adventure & Active
19.0,group,1852.0,Whale and Dolphin Watching,Wildlife Safaris,Water Sports,Summer,Train,Medium,Hostel,Adventure & Active
25.0,couples,1667.0,Wildlife Safaris,Whale and Dolphin Watching,Water Sports,Fall,Bike,Medium,Hostel,Adventure & Active
24.0,solo,2008.0,Wildlife Safaris,Water Sports,Camping,Summer,Car,Medium,Guesthouse,Adventure & Active
29.0,solo,1871.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Winter,Car,Medium,Guesthouse,Adventure & Active
20.0,group,2093.0,Water Sports,Wildlife Safaris,Camping,Fall,Train,Medium,Hostel,Adventure & Active
29.0,group,1816.0,Water Sports,Wildlife Safaris,Camping,Summer,Public-Bus,Medium,Guesthouse,Adventure & Active
24.0,solo,1901.0,Camping,Hiking and Trekking,Whale and Dolphin Watching,Fall,Bike,Medium,Guesthouse,Adventure & Active
21.0,group,1923.0,Whale and Dolphin Watching,Wildlife Safaris,Camping,Fall,AC-Bus,Medium,Camping,Adventure & Active
20.0,couples,2416.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Summer,Bike,Medium,Camping,Adventure & Active
20.0,solo,2315.0,Water Sports,Camping,Wildlife Safaris,Fall,scooter,Medium,Camping,Adventure & Active
21.0,solo,1841.0,Hiking and Trekking,Camping,Wildlife Safaris,Fall,Train,Medium,Camping,Adventure & Active
19.0,group,1784.0,Hiking and Trekking,Whale and Dolphin Watching,Camping,Summer,Van,Medium,Guesthouse,Adventure & Active
23.0,group,2314.0,Wildlife Safaris,Hiking and Trekking,Whale and Dolphin Watching,Fall,Public-Bus,Medium,Camping,Adventure & Active
21.0,group,2097.0,Wildlife Safaris,Camping,Hiking and Trekking,Summer,Car,Medium,Hostel,Adventure & Active
31.0,solo,2343.0,Camping,Wildlife Safaris,Water Sports,Fall,Car,Medium,Guesthouse,Adventure & Active
28.0,couples,1654.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Fall,Car,Medium,Guesthouse,Adventure & Active
19.0,group,1545.0,Water Sports,Whale and Dolphin Watching,Hiking and Trekking,Winter,AC-Bus,Medium,Camping,Adventure & Active
24.0,group,2182.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Summer,Car,Medium,Hostel,Adventure & Active
28.0,solo,1792.0,Camping,Wildlife Safaris,Hiking and Trekking,Summer,Car,Medium,Hostel,Adventure & Active
31.0,group,2445.0,Hiking and Trekking,Wildlife Safaris,Water Sports,Summer,Public-Bus,Medium,Guesthouse,Adventure & Active
31.0,group,2713.0,Camping,Whale and Dolphin Watching,Hiking and Trekking,Summer,Van,Medium,Hostel,Adventure & Active
30.0,couples,2139.0,Hiking and Trekking,Whale and Dolphin Watching,Camping,Summer,PickMe,Medium,Camping,Adventure & Active
21.0,group,1554.0,Water Sports,Camping,Wildlife Safaris,Summer,Train,Medium,Guesthouse,Adventure & Active
24.0,group,2186.0,Wildlife Safaris,Water Sports,Hiking and Trekking,Fall,Car,Medium,Hostel,Adventure & Active
32.0,group,2003.0,Camping,Water Sports,Wildlife Safaris,Summer,AC-Bus,Medium,Camping,Adventure & Active
22.0,group,2247.0,Whale and Dolphin Watching,Wildlife Safaris,Water Sports,Summer,Car,Medium,Guesthouse,Adventure & Active
26.0,group,1558.0,Wildlife Safaris,Hiking and Trekking,Camping,Fall,Car,Medium,Camping,Adventure & Active
24.0,group,1610.0,Camping,Wildlife Safaris,Hiking and Trekking,Fall,Car,Medium,Hostel,Adventure & Active
22.0,group,2279.0,Hiking and Trekking,Water Sports,Whale and Dolphin Watching,Summer,Car,Medium,Camping,Adventure & Active
30.0,group,2030.0,Water Sports,Hiking and Trekking,Whale and Dolphin Watching,Fall,Train,Medium,Guesthouse,Adventure & Active
20.0,group,2390.0,Whale and Dolphin Watching,Water Sports,Hiking and Trekking,Summer,Car,Medium,Guesthouse,Adventure & Active
23.0,group,2456.0,Whale and Dolphin Watching,Water Sports,Hiking and Trekking,Fall,Public-Bus,Medium,Guesthouse,Adventure & Active
25.0,couples,1583.0,Wildlife Safaris,Water Sports,Hiking and Trekking,Fall,PickMe,Medium,Camping,Adventure & Active
28.0,solo,2438.0,Water Sports,Hiking and Trekking,Whale and Dolphin Watching,Fall,Train,Medium,Guesthouse,Adventure & Active
25.0,group,1752.0,Hiking and Trekking,Water Sports,Wildlife Safaris,Fall,Car,Medium,Guesthouse,Adventure & Active
