User_ID,User_Location,User_Locale,User_Contributions,Travel_Date,Published_Date,Rating,Helpful_Votes,number_of_times_abroad,Age,Travel Style,Duration of Stay (Days),Monthly Income (USD),Preferred Activities 1,Preferred Activities 2,Preferred Activities 3,Preferred Travel Season,Preferred Mode of Transportation,Tech Savvy,Accommodation Type,Category
User 22,"Miami, Florida",en_US,15,18-Aug,2018-09-18T05:41:57-04:00,4,3,11,25.0,group,0m2w6d,1962.0,Water Sports,Camping,Hiking and Trekking,Fall,Public-Bus,Medium,Camping,Adventure & Active
User 30,"Turin, Italy",it,10,18-Jul,2018-07-28T06:19:31-04:00,4,0,10,22.0,group,0m1w3d,1953.0,Water Sports,Camping,Whale and Dolphin Watching,Fall,Train,Medium,Camping,Adventure & Active
User 38,"Yangon (Rangoon), Myanmar",en_US,42,18-Jul,2018-06-30T18:28:23-04:00,4,2,7,20.0,solo,0m1w0d,1604.0,Whale and Dolphin Watching,Wildlife Safaris,Camping,Summer,Train,Medium,Hostel,Adventure & Active
User 42,"Port Coquitlam, Canada",en_CA,18,17-Aug,2017-08-27T17:20:50-04:00,5,2,2,26.0,solo,0m1w1d,2176.0,Hiking and Trekking,Camping,Whale and Dolphin Watching,Fall,Car,Medium,Guesthouse,Adventure & Active
User 43,"Prague, Czech Republic",en_US,2,17-Aug,2017-08-26T23:47:03-04:00,3,2,13,29.0,group,0m1w5d,1824.0,Camping,Whale and Dolphin Watching,Water Sports,Fall,Public-Bus,Medium,Hostel,Adventure & Active
User 45,Lebanon,en_US,7,17-Aug,2017-08-22T09:33:01-04:00,4,0,3,19.0,group,0m1w6d,2167.0,Whale and Dolphin Watching,Water Sports,Camping,Summer,Car,Medium,Hostel,Adventure & Active
User 50,"Frankfurt, Germany",de,11,17-Jul,2017-08-09T08:10:26-04:00,4,3,9,22.0,group,0m2w3d,2087.0,Whale and Dolphin Watching,Hiking and Trekking,Water Sports,Summer,Van,Medium,Hostel,Adventure & Active
User 51,"Novo Mesto, Slovenia",en_US,46,17-Aug,2017-08-07T06:46:15-04:00,2,1,0,19.0,group,0m2w2d,1852.0,Whale and Dolphin Watching,Wildlife Safaris,Water Sports,Summer,Train,Medium,Hostel,Adventure & Active
User 52,"Whitstable, United Kingdom",en_UK,112,17-Aug,2017-08-06T09:39:53-04:00,5,0,1,25.0,couples,0m1w0d,1667.0,Wildlife Safaris,Whale and Dolphin Watching,Water Sports,Fall,Bike,Medium,Hostel,Adventure & Active
User 57,"Cairns, Australia",en_US,42,18-Jun,2018-06-12T21:28:44-04:00,5,0,10,24.0,solo,0m0w5d,2008.0,Wildlife Safaris,Water Sports,Camping,Summer,Car,Medium,Guesthouse,Adventure & Active
User 68,California,en_US,3,19-Jul,2019-08-26T17:36:28-04:00,5,0,5,29.0,solo,0m1w1d,1871.0,Hiking and Trekking,Whale and Dolphin Watching,Wildlife Safaris,Winter,Car,Medium,Guesthouse,Adventure & Active
User 72,"Sydney, Australia",en_US,9,17-Jun,2017-06-04T22:26:27-04:00,3,0,0,20.0,group,0m2w3d,2093.0,Water Sports,Wildlife Safaris,Camping,Fall,Train,Medium,Hostel,Adventure & Active
User 76,Mariefred,sv,62,17-Apr,2017-04-18T09:18:29-04:00,5,1,0,29.0,group,0m2w0d,1816.0,Water Sports,Wildlife Safaris,Camping,Summer,Public-Bus,Medium,Guesthouse,Adventure & Active
User 77,"Gothenburg, Sweden",en_US,12,17-Apr,2017-04-17T21:57:00-04:00,5,1,5,24.0,solo,0m1w3d,1901.0,Camping,Hiking and Trekking,Whale and Dolphin Watching,Fall,Bike,Medium,Guesthouse,Adventure & Active
User 83,"Seal Beach, California",en_US,115,17-Jun,2017-07-25T19:51:06-04:00,4,0,8,21.0,group,0m2w1d,1923.0,Whale and Dolphin Watching,Wildlife Safaris,Camping,Fall,AC-Bus,Medium,Camping,Adventure & Active
User 86,"Utrecht, The Netherlands",en_US,5,17-Jul,2017-07-16T08:04:04-04:00,5,0,2,20.0,couples,0m1w0d,2416.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Summer,Bike,Medium,Camping,Adventure & Active
User 92,"Luscherz, Switzerland",de_DE,103,17-Feb,2017-02-04T05:02:08-05:00,3,0,6,20.0,solo,0m1w2d,2315.0,Water Sports,Camping,Wildlife Safaris,Fall,scooter,Medium,Camping,Adventure & Active
User 98,Negombo,en_US,40,16-Dec,2016-12-16T17:48:50-05:00,5,1,3,21.0,solo,0m1w2d,1841.0,Hiking and Trekking,Camping,Wildlife Safaris,Fall,Train,Medium,Camping,Adventure & Active
User 99,"Hong Kong, China",en_US,59,16-Aug,2016-12-02T22:23:00-05:00,5,1,12,19.0,group,0m2w5d,1784.0,Hiking and Trekking,Whale and Dolphin Watching,Camping,Summer,Van,Medium,Guesthouse,Adventure & Active
User 104,"London, United Kingdom",en_US,11,16-Sep,2016-09-19T00:49:52-04:00,3,2,8,23.0,group,0m2w2d,2314.0,Wildlife Safaris,Hiking and Trekking,Whale and Dolphin Watching,Fall,Public-Bus,Medium,Camping,Adventure & Active
User 111,"Gurugram (Gurgaon), India",en_IN,24,15-Jul,2015-08-09T22:41:46-04:00,5,0,12,21.0,group,0m2w1d,2097.0,Wildlife Safaris,Camping,Hiking and Trekking,Summer,Car,Medium,Hostel,Adventure & Active
User 117,"Canberra, Australia",en_AU,40,15-Apr,2015-05-26T01:27:07-04:00,5,0,2,31.0,solo,0m0w5d,2343.0,Camping,Wildlife Safaris,Water Sports,Fall,Car,Medium,Guesthouse,Adventure & Active
User 118,"Carnforth, United Kingdom",en_UK,45,15-Mar,2015-04-20T13:50:46-04:00,4,3,13,28.0,couples,0m1w3d,1654.0,Water Sports,Whale and Dolphin Watching,Wildlife Safaris,Fall,Car,Medium,Guesthouse,Adventure & Active
User 132,"Rome, Italy",it,2,13-Apr,2013-04-17T07:25:18-04:00,1,2,8,19.0,group,0m2w0d,1545.0,Water Sports,Whale and Dolphin Watching,Hiking and Trekking,Winter,AC-Bus,Medium,Camping,Adventure & Active
